gc 58 @1.916s 3%: 0.009+4.9+0.041 ms clock, 0.037+0.23/4.8/6.8+0.16 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 59 @1.967s 3%: 0.012+10+0.036 ms clock, 0.048+0.14/10/14+0.14 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 60 @1.978s 3%: 0.005+0.11+0.021 ms clock, 0.021+0/0.084/0.089+0.087 ms cpu, 8->8->0 MB, 16 MB goal, 4 P (forced)
gc 61 @2.026s 3%: 0.010+4.3+0.52 ms clock, 0.040+0.13/4.2/7.9+2.1 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 62 @2.074s 3%: 0.010+9.9+0.028 ms clock, 0.043+0.20/9.8/13+0.11 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
  100000	      1068 ns/op	      88 B/op	       2 allocs/op
gc 63 @2.086s 3%: 0.030+0.11+0.020 ms clock, 0.12+0/0.085/0.13+0.080 ms cpu, 8->8->0 MB, 16 MB goal, 4 P (forced)
gc 64 @2.123s 3%: 0.009+4.7+0.063 ms clock, 0.038+0.24/4.7/5.0+0.25 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 65 @2.175s 3%: 0.011+9.2+0.13 ms clock, 0.045+0.23/9.1/13+0.53 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
BenchmarkSetErase1E5-4                                	gc 66 @2.247s 3%: 0.020+0.13+0.025 ms clock, 0.080+0/0.084/0.16+0.10 ms cpu, 10->10->0 MB, 16 MB goal, 4 P (forced)
gc 67 @2.285s 3%: 0.008+3.7+0.025 ms clock, 0.034+0.21/3.7/4.0+0.10 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 68 @2.337s 3%: 0.010+8.1+0.028 ms clock, 0.042+0.26/8.0/13+0.11 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
gc 69 @2.408s 3%: 0.016+0.11+0.022 ms clock, 0.065+0/0.090/0.18+0.090 ms cpu, 10->10->0 MB, 16 MB goal, 4 P (forced)
gc 70 @2.446s 3%: 0.010+5.3+0.051 ms clock, 0.040+0.14/5.2/4.7+0.20 ms cpu, 4->4->4 MB, 5 MB goal, 4 P
gc 71 @2.498s 3%: 0.011+11+0.036 ms clock, 0.045+0.16/10/11+0.14 ms cpu, 7->8->8 MB, 8 MB goal, 4 P
